State,Top Candy,Pounds
AK,Sour Patch Kids,"5,171"
AL,Skittles,"111,332"
AR,Butterfinger,"217,714"
AZ,Hershey Kisses,"831,193"
CA,M&M's,"1,375,652"
CO,Hershey Kisses,"130,730"
CT,Almond Joy,"3,108"
DC,M&M's,"25,951"
DE,Sour Patch Kids,"21,013"
FL,Reese's Cups,"708,718"
GA,Jolly Ranchers,"145,023"
HI,Hershey's Mini Bars,"28,419"
IA,M&M's,"68,604"
ID,Snickers,"89,399"
IL,Sour Patch Kids,"169,812"
IN,Starburst,"96,690"
KS,M&M's,"266,137"
KY,Reese's Cups,"70,644"
LA,Lemonheads,"116,255"
MA,Butterfinger,"73,779"
MD,Candy Corn,"39,195"
ME,Sour Patch Kids,"60,637"
MI,Starburst,"114,506"
MN,Hot Tamales,"185,509"
MO,Almond Joy,"47,910"
MS,3 Musketeers,"97,677"
MT,Twix,"31,365"
NC,M&M's,"100,713"
ND,Hot Tamales,"62,855"
NE,Sour Patch Kids,"94,921"
NH,Reese's Cups,"74,044"
NJ,Tootsie Pops,"153,330"
NM,Hot Tamales,"85,597"
NV,Hershey's Mini Bars,"301,822"
NY,Sour Patch Kids,"174,655"
OH,Blow Pops,"177,917"
OK,Butterfinger,"21,349"
OR,M&M's,"91,412"
PA,M&M's,"255,991"
RI,Hershey's Mini Bars,"16,182"
SC,Butterfinger,"118,984"
SD,Jolly Ranchers,"23,663"
TN,Snickers,"60,583"
TX,Sour Patch Kids,"973,833"
UT,Candy Corn,"423,474"
VA,Butterfinger,"159,042"
VT,M&M's,"39,138"
WA,M&M's,"175,931"
WI,Butterfinger,"108,910"
WV,Hershey's Mini Bars,"41,213"
WY,Reese's Cups,"24,807"